Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Jeff Mathis,36,86,244,228,17,36,9,0,2,12,1,0,15,87,0.158,0.209,0.224,0.433,11,51,2,0,0,1,1
2,1B,Ronald Guzman,24,87,295,256,34,56,20,0,10,36,1,2,32,87,0.219,0.308,0.414,0.723,81,106,7,3,0,4,1
3,2B,Rougned Odor,25,145,581,522,77,107,30,1,30,93,11,9,52,178,0.205,0.283,0.439,0.721,79,229,4,5,1,1,2
4,SS,Elvis Andrus,30,147,648,600,81,165,27,4,12,72,31,8,34,96,0.275,0.313,0.393,0.707,78,236,16,4,0,10,1
5,OF,Willie Calhoun,24,83,337,309,51,83,14,1,21,48,0,0,23,53,0.269,0.323,0.524,0.848,110,162,5,3,0,2,0
6,OF,Shin-Soo Choo,36,151,660,563,93,149,31,2,24,61,15,1,78,165,0.265,0.371,0.455,0.826,109,256,6,18,0,1,3
7,UT,Danny Santana,28,130,511,474,81,134,23,6,28,81,21,6,25,151,0.283,0.324,0.534,0.857,112,253,8,6,0,5,2
8,OF,Joey Gallo,25,70,297,241,54,61,15,1,22,49,4,2,52,114,0.253,0.389,0.598,0.986,145,144,0,2,1,1,4
9,3B,Isiah Kiner-Falefa,24,65,222,202,23,48,12,1,1,21,3,0,14,49,0.238,0.299,0.322,0.62,58,65,9,4,1,1,0
10,UT,Nick Solak,24,33,135,116,19,34,6,1,5,17,2,0,15,29,0.293,0.393,0.491,0.884,123,57,2,4,0,0,1
11,C,Jose Trevino,26,40,126,120,18,31,9,0,2,13,0,0,3,27,0.258,0.272,0.383,0.655,64,46,6,0,1,2,0
12,OF,Scott Heineman,26,25,85,75,8,16,6,0,2,7,1,2,9,20,0.213,0.306,0.373,0.679,72,28,3,1,0,0,0
13,C,Robinson Chirinos,35,114,437,366,57,87,22,1,17,58,1,2,51,125,0.238,0.347,0.443,0.79,105,162,11,13,2,5,1
14,3B,Todd Frazier,33,133,499,447,63,112,19,2,21,67,1,2,40,106,0.251,0.329,0.443,0.772,106,198,9,12,0,0,1