Name,playerId,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,LHH_OPS,LHH_HR/9,LHH_SO/BB,LHH_ERA,LHH_WHIP
Fernando Rodney,494,2 Tms,24.1,108,5.1781,27,2,0,14,14,3,14,1,0,25,0.287234042,0.379629629,0.404255319,0.339786216,0.783884948,1.12033195,1.785714286,5.1781,1.701244813
Adam Ottavino,1247,NYY,21.1,97,2.9531,19,3,0,8,7,3,15,3,1,21,0.240506329,0.360824742,0.392405063,0.316768568,0.753229805,1.279620853,1.4,2.9531,1.611374408
Oliver Perez,1514,CLE,23.1,95,1.5429,18,2,0,4,4,3,7,0,1,26,0.206896551,0.27368421,0.333333333,0.26429588,0.607017543,1.168831169,3.714285714,1.5429,1.082251082
Sean Doolittle,1581,WSN,20.1,80,2.6557,17,3,3,6,6,2,2,0,0,23,0.22077922,0.240506329,0.415584415,0.269913487,0.656090744,0.895522388,11.5,2.6557,0.945273632
Hector Rondon,2391,HOU,26.1,104,4.1013,19,6,0,12,12,6,8,0,3,20,0.204301075,0.288461538,0.462365591,0.314465927,0.750827129,2.068965517,2.5,4.1013,1.034482759
Luis Avilan,2882,NYM,15.2,54,2.2979,5,1,0,4,4,1,5,0,0,17,0.102040816,0.185185185,0.183673469,0.170675826,0.368858654,0.592105263,3.4,2.2979,0.657894737
Kenley Jansen,3096,LAD,34,141,3.4412,26,8,0,14,13,5,9,0,1,39,0.198473282,0.255319148,0.374045801,0.267147199,0.629364949,1.323529412,4.333333333,3.4412,1.029411765
Tony Watson,3132,SFG,14,71,6.4286,23,3,0,11,10,2,5,0,1,9,0.359375,0.414285714,0.5,0.39075263,0.914285714,1.285714286,1.8,6.4286,2
Will Harris,3192,HOU,34,125,1.3235,25,1,0,6,5,2,3,0,0,34,0.20661157,0.225806451,0.264462809,0.212080483,0.49026926,0.529411765,11.33333333,1.3235,0.823529412
Francisco Liriano,3201,PIT,19.2,87,1.3729,14,4,0,7,3,2,13,0,1,22,0.194444444,0.325581395,0.333333333,0.295298042,0.658914728,0.9375,1.692307692,1.3729,1.40625
T.J. McFarland,3237,ARI,30.2,131,4.1087,35,6,1,16,14,3,9,0,0,22,0.291666666,0.335877862,0.433333333,0.325194207,0.769211195,0.894039735,2.444444444,4.1087,1.456953642
Zack Britton,3240,NYY,16.2,67,1.08,9,2,0,2,2,0,9,0,0,25,0.157894736,0.268656716,0.192982456,0.219898952,0.461639172,0,2.777777778,1.08,1.111111111
Liam Hendriks,3548,OAK,37.1,159,2.6518,37,7,1,12,11,4,9,4,2,54,0.253424657,0.303797468,0.397260273,0.288531788,0.701057741,0.970350404,6,2.6518,1.239892183
Zach Duke,3840,CIN,14,65,4.5,13,4,0,7,7,3,11,0,1,14,0.25,0.384615384,0.5,0.372544064,0.884615384,1.928571429,1.272727273,4.5,1.714285714
Matt Magill,3950,2 Tms,20.2,96,3.4839,23,8,0,11,8,3,11,2,0,20,0.280487804,0.357894736,0.487804878,0.34623505,0.845699614,1.336633663,1.818181818,3.4839,1.683168317
Yusmeiro Petit,4020,OAK,34.2,132,3.375,27,5,2,13,13,6,5,0,0,27,0.217741935,0.244274809,0.43548387,0.277897272,0.679758679,1.578947368,5.4,3.375,0.935672515
Pedro Strop,4070,CHC,20,87,4.05,15,4,1,9,9,2,12,1,1,21,0.202702702,0.32183908,0.364864864,0.297023931,0.686703944,0.9,1.75,4.05,1.35
Derek Holland,4141,2 Tms,18.1,80,0.9818,14,2,0,2,2,1,9,0,1,15,0.2,0.3,0.271428571,0.260880136,0.571428571,0.497237569,1.666666667,0.9818,1.270718232
David Hernandez,4259,CIN,16.2,82,11.34,26,9,1,22,21,5,6,1,1,28,0.351351351,0.402439024,0.702702702,0.44337089,1.105141726,2.777777778,4.666666667,11.34,1.975308642
Mark Melancon,4264,2 Tms,25.2,106,3.1558,27,4,1,10,9,0,9,1,0,25,0.278350515,0.339622641,0.340206185,0.295708459,0.679828826,0,2.777777778,3.1558,1.428571429
Matt Albers,4300,MIL,16,80,10.6875,18,4,0,19,19,4,13,3,3,7,0.285714285,0.425,0.539682539,0.394564502,0.964682539,2.25,0.538461538,10.6875,1.9375
Justin Wilson,4301,NYM,12.2,57,1.421,10,2,0,3,2,0,11,1,0,17,0.217391304,0.368421052,0.260869565,0.290948778,0.629290617,0,1.545454545,1.421,1.721311475
Tyler Chatwood,4338,CHC,19.1,91,5.1207,25,5,0,11,11,2,11,0,0,21,0.316455696,0.395604395,0.455696202,0.36492927,0.851300597,0.942408377,1.909090909,5.1207,1.884816754
Jake Diekman,5003,2 Tms,23,105,3.913,19,6,0,10,10,0,16,0,3,21,0.223529411,0.361904761,0.294117647,0.302926091,0.656022408,0,1.3125,3.913,1.52173913
Jeurys Familia,5114,NYM,23.2,116,6.8451,29,3,1,18,18,3,19,2,1,23,0.311827956,0.429824561,0.462365591,0.380207131,0.892190152,1.163793103,1.210526316,6.8451,2.068965517
Wade LeBlanc,5221,SEA,18.2,78,6.2678,19,5,0,13,13,5,4,0,0,18,0.256756756,0.294871794,0.527027027,0.33805955,0.821898821,2.472527473,4.5,6.2678,1.263736264
Blake Parker,5224,2 Tms,25,108,3.24,24,3,0,10,9,2,12,0,1,21,0.260869565,0.349056603,0.358695652,0.311833518,0.707752255,0.72,1.75,3.24,1.44
Wilmer Font,5257,3 Tms,18.2,83,4.3393,20,6,0,9,9,5,8,1,0,24,0.27027027,0.337349397,0.554054054,0.361660885,0.891403451,2.472527473,3,4.3393,1.538461538
Jose Alvarez,5358,PHI,28.2,115,2.5116,25,4,0,10,8,4,5,0,1,22,0.235849056,0.271929824,0.386792452,0.277007133,0.658722276,1.276595745,4.4,2.5116,1.063829787
Pedro Baez,5420,LAD,34.1,129,2.6214,21,6,1,14,10,2,8,1,1,29,0.176470588,0.234375,0.294117647,0.225942027,0.528492647,0.527859238,3.625,2.6214,0.850439883
Jesse Chavez,5448,TEX,19.2,86,4.1186,21,5,0,10,9,2,5,0,1,22,0.2625,0.313953488,0.4,0.305902132,0.713953488,0.9375,4.4,4.1186,1.354166667
Ryan Brasier,5615,BOS,23.2,111,6.0845,23,7,0,18,16,6,14,0,2,23,0.247311827,0.351351351,0.516129032,0.359932374,0.867480383,2.327586207,1.642857143,6.0845,1.594827586
Tyler Clippard,5640,CLE,29.2,106,1.8202,10,1,1,6,6,2,8,0,3,27,0.107526881,0.2,0.204301075,0.185927612,0.404301075,0.616438356,3.375,1.8202,0.616438356
Junior Guerra,5702,MIL,37,160,2.6757,23,5,1,13,11,3,27,2,2,32,0.178294573,0.327044025,0.302325581,0.282173509,0.629369606,0.72972973,1.185185185,2.6757,1.351351351
Kelvin Herrera,6033,CHW,19.2,93,6.4068,24,3,0,14,14,2,10,5,0,16,0.296296296,0.369565217,0.407407407,0.316127304,0.776972624,0.9375,1.6,6.4068,1.770833333
Trevor Cahill,6249,LAA,21,87,5.1429,20,8,0,14,12,5,5,0,1,17,0.25,0.298850574,0.5375,0.341252108,0.836350574,2.142857143,3.4,5.1429,1.19047619
David Phelps,6316,2 Tms,10.2,48,3.375,12,0,2,5,4,3,5,0,0,14,0.279069767,0.354166666,0.581395348,0.383653386,0.935562014,2.647058824,2.8,3.375,1.666666667
Trevor May,6398,MIN,33.1,132,2.97,23,4,0,12,11,5,7,0,1,37,0.18548387,0.234848484,0.338709677,0.244622095,0.573558161,1.359516616,5.285714286,2.97,0.906344411
Jose Cisnero,6399,DET,14.1,72,6.2791,17,4,1,12,10,2,11,3,2,16,0.298245614,0.422535211,0.508771929,0.381347132,0.93130714,1.276595745,1.454545455,6.2791,1.985815603
Steve Cishek,6483,CHC,24.2,109,3.6486,19,2,0,10,10,4,16,1,4,26,0.21590909,0.357798165,0.375,0.321552301,0.732798165,1.487603306,1.625,3.6486,1.446280992
Blaine Hardy,6499,DET,14,59,4.5,12,2,1,9,7,7,6,0,0,11,0.235294117,0.305084745,0.725490196,0.396950475,1.030574941,4.5,1.833333333,4.5,1.285714286
Brad Brach,6627,2 Tms,15,86,9.6,29,5,3,16,16,2,13,1,1,8,0.402777777,0.5,0.638888888,0.471467383,1.138888888,1.2,0.615384615,9.6,2.8
Craig Kimbrel,6655,CHC,11,49,7.3636,10,2,0,9,9,4,3,0,2,16,0.232558139,0.306122448,0.558139534,0.35059627,0.864261982,3.272727273,5.333333333,7.3636,1.181818182
Alex Colome,6661,CHW,28,110,2.5714,19,6,0,11,8,3,8,2,0,30,0.19,0.247706422,0.34,0.242583488,0.587706422,0.964285714,3.75,2.5714,0.964285714
Andrew Miller,6785,STL,25,111,3.96,20,0,0,11,11,4,14,1,3,39,0.212765957,0.333333333,0.340425531,0.298212155,0.673758864,1.44,2.785714286,3.96,1.36
Joakim Soria,6941,OAK,32.2,133,6.0612,28,4,1,22,22,4,7,0,2,33,0.227642276,0.278195488,0.373983739,0.27779585,0.652179227,1.118012422,4.714285714,6.0612,1.086956522
Luis Garcia,6984,LAA,25,116,4.68,24,1,0,14,13,4,19,0,0,24,0.252631578,0.373913043,0.389473684,0.335764715,0.763386727,1.44,1.263157895,4.68,1.72
Ian Kennedy,6986,KCR,33,135,2.7273,28,4,0,10,10,4,10,0,1,40,0.225806451,0.288888888,0.354838709,0.278808204,0.643727597,1.090909091,4,2.7273,1.151515152
Ryan Pressly,7005,HOU,28.2,103,0.6279,12,1,0,2,2,2,5,0,0,40,0.12371134,0.165048543,0.195876288,0.158967712,0.360924831,0.638297872,8,0.6279,0.602836879
Daniel Hudson,7146,2 Tms,31.1,130,2.2979,23,9,0,10,8,3,12,1,1,21,0.201754385,0.279069767,0.359649122,0.270677512,0.638718889,0.868167203,1.75,2.2979,1.125401929
Greg Holland,7196,ARI,18,73,4.5,11,2,0,9,9,2,12,1,0,22,0.180327868,0.315068493,0.311475409,0.277679042,0.626543902,1,1.833333333,4.5,1.277777778
Craig Stammen,7274,SDP,38.2,153,2.7931,29,10,0,14,12,4,8,2,1,31,0.202797202,0.248366013,0.356643356,0.250528996,0.605009369,0.942408377,3.875,2.7931,0.968586387
Dan Otero,7385,CLE,12.1,50,5.1081,13,3,0,7,7,1,2,0,0,6,0.270833333,0.3,0.395833333,0.295931662,0.695833333,0.743801653,3,5.1081,1.239669421
Javy Guerra,7407,2 Tms,28,120,5.4643,30,5,1,17,17,5,7,2,0,21,0.267857142,0.308333333,0.464285714,0.315966335,0.772619047,1.607142857,3,5.4643,1.321428571
Jay Jackson,7432,MIL,10.2,51,7.5937,10,3,0,9,9,3,8,1,1,15,0.25,0.372549019,0.55,0.369966148,0.922549019,2.647058824,1.875,7.5937,1.764705882
Wade Davis,7441,COL,18,89,9.5,21,6,1,19,19,0,13,0,1,17,0.28,0.393258426,0.386666666,0.344905021,0.779925092,0,1.307692308,9.5,1.888888889
Anthony Swarzak,7466,2 Tms,17.2,82,6.6226,19,2,1,13,13,5,12,2,0,27,0.271428571,0.37804878,0.542857142,0.376608116,0.920905922,2.61627907,2.25,6.6226,1.802325581
Collin McHugh,7531,HOU,16.2,66,1.62,8,1,0,3,3,1,9,0,0,20,0.140350877,0.257575757,0.210526315,0.221007492,0.468102072,0.555555556,2.222222222,1.62,1.049382716
Jake McGee,7550,COL,19,75,1.8947,16,2,1,7,4,3,4,0,0,15,0.235294117,0.266666666,0.426470588,0.283176037,0.693137254,1.421052632,3.75,1.8947,1.052631579
Nick Vincent,7555,2 Tms,14.2,65,1.8409,13,3,1,4,3,1,7,2,2,15,0.232142857,0.338461538,0.375,0.301036613,0.713461538,0.633802817,2.142857143,1.8409,1.408450704
Tommy Milone,7608,SEA,20.2,84,7.4032,19,7,0,17,17,5,3,0,1,16,0.240506329,0.273809523,0.518987341,0.322520002,0.792796864,2.227722772,5.333333333,7.4032,1.089108911
Neil Ramirez,7677,2 Tms,10.1,49,8.7097,13,3,0,10,10,4,7,0,0,9,0.309523809,0.408163265,0.666666666,0.437915145,1.074829931,3.564356436,1.285714286,8.7097,1.98019802
Juan Nicasio,7731,PHI,17,80,4.2353,19,5,0,8,8,2,11,3,0,18,0.279411764,0.375,0.44117647,0.33662385,0.81617647,1.058823529,1.636363636,4.2353,1.764705882
Wily Peralta,7738,KCR,17,81,9.5294,21,5,0,20,18,6,8,1,2,12,0.304347826,0.382716049,0.637681159,0.408588795,1.020397208,3.176470588,1.5,9.5294,1.705882353
Shawn Kelley,7773,TEX,20.1,101,7.082,34,9,1,17,16,6,7,2,1,13,0.373626373,0.424242424,0.692307692,0.452987928,1.116550116,2.686567164,1.857142857,7.082,2.039800995
Richard Bleier,7803,BAL,26,98,3.1154,21,5,0,10,9,1,2,0,2,17,0.225806451,0.25510204,0.311827956,0.243734561,0.566929996,0.346153846,8.5,3.1154,0.884615385
Jerry Blevins,7841,ATL,17,69,2.6471,11,3,0,5,5,1,7,0,0,20,0.180327868,0.260869565,0.278688524,0.239258567,0.539558089,0.529411765,2.857142857,2.6471,1.058823529
Cory Gearrin,7947,2 Tms,18.2,84,5.7857,20,3,0,12,12,3,10,1,1,13,0.273972602,0.369047619,0.438356164,0.344276736,0.807403783,1.483516484,1.3,5.7857,1.648351648
Anthony Bass,7982,SEA,22.1,86,2.8209,13,3,1,8,7,2,6,1,0,21,0.164556962,0.220930232,0.303797468,0.218785925,0.5247277,0.814479638,3.5,2.8209,0.859728507
Marcus Walden,8004,BOS,32,132,3.9375,23,7,0,16,14,3,13,1,0,36,0.198275862,0.27480916,0.336206896,0.260951432,0.611016056,0.84375,2.769230769,3.9375,1.125
Will Smith,8048,SFG,19.2,72,2.2881,11,0,1,5,5,1,1,0,0,42,0.157142857,0.166666666,0.228571428,0.166462659,0.395238094,0.46875,42,2.2881,0.625
Bryan Shaw,8110,COL,35,136,3.3429,24,3,3,13,13,2,13,0,2,24,0.2,0.288888888,0.325,0.269941391,0.613888888,0.514285714,1.846153846,3.3429,1.057142857
Tony Sipp,8280,WSN,12.2,53,0.7105,12,3,0,1,1,1,2,0,1,8,0.255319148,0.283018867,0.382978723,0.276343241,0.66599759,0.737704918,4,0.7105,1.147540984
Andrew Cashner,8782,BOS,11,45,4.0909,8,3,1,5,5,1,6,0,0,7,0.210526315,0.318181818,0.421052631,0.315207567,0.739234449,0.818181818,1.166666667,4.0909,1.272727273
Oliver Drake,8823,TBR,30.1,104,0.2967,15,2,0,1,1,1,2,0,0,33,0.147058823,0.163461538,0.196078431,0.155660969,0.359539969,0.299003322,16.5,0.2967,0.564784053
Adam Warren,9029,SDP,12.2,49,4.2631,7,1,0,6,6,1,6,0,0,12,0.162790697,0.265306122,0.255813953,0.237673544,0.521120075,0.737704918,2,4.2631,1.06557377
Kirby Yates,9073,SDP,32,132,2.25,24,8,0,10,8,2,8,1,2,54,0.196721311,0.257575757,0.311475409,0.244712831,0.569051166,0.5625,6.75,2.25,1
Brad Hand,9111,CLE,15.1,64,2.3478,11,1,0,4,4,0,6,1,1,21,0.196428571,0.285714285,0.214285714,0.227152022,0.5,0,3.5,2.3478,1.125827815
Jared Hughes,9325,2 Tms,23.2,95,3.8028,16,2,0,12,10,2,9,1,0,12,0.192771084,0.268817204,0.289156626,0.242065694,0.55797383,0.775862069,1.333333333,3.8028,1.077586207
Josh Tomlin,9388,ATL,32,124,3.6563,29,2,2,15,13,6,3,0,0,25,0.243697478,0.258064516,0.445378151,0.288080625,0.703442667,1.6875,8.333333333,3.6563,1
Ryan Buchter,9456,OAK,28.2,115,2.5116,25,4,1,9,8,5,7,0,1,33,0.238095238,0.289473684,0.438095238,0.304287186,0.727568922,1.595744681,4.714285714,2.5116,1.134751773
Jeremy Jeffress,9490,MIL,22.1,96,4.4328,25,6,0,14,11,2,7,0,0,17,0.280898876,0.333333333,0.415730337,0.320775442,0.74906367,0.814479638,2.428571429,4.4328,1.447963801
David Hale,9756,NYY,15.1,66,3.5217,17,7,1,6,6,0,3,1,0,6,0.274193548,0.303030303,0.419354838,0.29619568,0.722385141,0,2,3.5217,1.324503311
Joe Kelly,9761,LAD,21.2,98,5.4,21,4,0,15,13,3,12,2,1,29,0.247058823,0.346938775,0.4,0.317520081,0.746938775,1.273584906,2.416666667,5.4,1.556603774
Sergio Romo,9817,2 Tms,26.1,112,4.1013,24,4,0,14,12,2,11,1,0,22,0.242424242,0.3125,0.343434343,0.28199644,0.655934343,0.689655172,2,4.1013,1.340996169
Chaz Roe,9866,TBR,11.2,55,3.8571,10,1,0,6,5,1,9,2,1,18,0.227272727,0.37037037,0.318181818,0.301237229,0.688552188,0.803571429,2,3.8571,1.696428571
Brandon Kintzler,9939,CHC,23.2,89,3.0422,13,4,1,9,8,1,7,3,2,17,0.1625,0.247191011,0.275,0.216535687,0.522191011,0.387931034,2.428571429,3.0422,0.862068966
Mike Dunn,9948,COL,10.1,39,7.8387,7,1,1,9,9,2,2,0,0,10,0.212121212,0.23076923,0.484848484,0.272158016,0.715617714,1.782178218,5,7.8387,0.891089109
Brad Boxberger,10133,KCR,14.1,64,3.7675,12,2,0,6,6,1,9,0,1,15,0.222222222,0.34375,0.314814814,0.298924943,0.658564814,0.638297872,1.666666667,3.7675,1.489361702
Ryan Weber,10160,BOS,12.1,56,4.3784,15,2,0,6,6,3,4,0,1,7,0.294117647,0.357142857,0.509803921,0.364792916,0.866946778,2.231404959,1.75,4.3784,1.570247934
Aroldis Chapman,10233,NYY,14,56,2.5714,8,3,0,6,4,0,5,0,0,23,0.163265306,0.236363636,0.224489795,0.208172754,0.460853431,0,4.6,2.5714,0.928571429
Juan Minaya,10341,CHW,10.1,49,1.7419,12,5,0,2,2,0,6,0,0,9,0.279069767,0.367346938,0.395348837,0.332904875,0.762695775,0,1.5,1.7419,1.782178218
Robbie Erlin,10354,SDP,20.2,101,3.9193,31,2,0,10,9,2,6,0,1,23,0.333333333,0.38,0.419354838,0.346527798,0.799354838,0.891089109,3.833333333,3.9193,1.831683168
Mychal Givens,10430,BAL,23.1,105,6.9429,24,3,2,18,18,7,13,1,0,29,0.266666666,0.352380952,0.577777777,0.37503459,0.930158729,2.727272727,2.230769231,6.9429,1.601731602
Chad Bettis,10587,COL,22,91,5.3182,20,5,0,14,13,3,8,2,1,16,0.243902439,0.318681318,0.414634146,0.305597747,0.733315464,1.227272727,2,5.3182,1.272727273
Shane Greene,10756,2 Tms,24,105,3.75,25,3,0,11,10,4,8,1,2,29,0.265957446,0.336538461,0.425531914,0.32360739,0.762070375,1.5,3.625,3.75,1.375
Adam Kolarek,10843,2 Tms,29.2,113,0.9101,19,3,0,3,3,2,3,0,3,26,0.177570093,0.221238938,0.261682242,0.211788477,0.48292118,0.616438356,8.666666667,0.9101,0.753424658
Casey Sadler,11209,2 Tms,23,94,2.7391,20,2,0,7,7,4,6,1,3,14,0.238095238,0.311827956,0.404761904,0.304077118,0.71658986,1.565217391,2.333333333,2.7391,1.130434783
Tommy Kahnle,11384,NYY,31,126,4.0645,24,4,0,15,14,6,10,0,1,48,0.208695652,0.277777777,0.4,0.288099493,0.677777777,1.741935484,4.8,4.0645,1.096774194
Drew Pomeranz,11426,2 Tms,11.1,38,2.3824,6,1,0,3,3,2,0,0,0,18,0.162162162,0.157894736,0.351351351,0.202751531,0.509246087,1.621621622,#DIV/0!,2.3824,0.540540541
