Name,playerId,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,LHH_OPS,LHH_HR/9,LHH_SO/BB,LHH_ERA,LHH_WHIP
Brandon Workman,11428,BOS,31.2,130,2.8421,14,3,0,11,10,1,21,3,1,48,0.132075471,0.276923076,0.188679245,0.215985184,0.465602321,0.288461538,2.285714286,2.8421,1.121794872
Matt Grace,11449,WSN,19.2,88,5.9491,28,4,0,14,13,3,2,0,2,22,0.337349397,0.367816091,0.493975903,0.36512688,0.861791994,1.40625,11,5.9491,1.5625
Josh Osich,11528,CHW,31.1,115,3.4468,19,5,0,12,12,5,4,0,0,30,0.171171171,0.2,0.351351351,0.229292564,0.551351351,1.446945338,7.5,3.4468,0.739549839
Heath Hembree,11632,BOS,16.1,71,4.9592,14,4,3,10,9,4,8,2,0,17,0.222222222,0.309859154,0.571428571,0.347281685,0.881287725,2.236024845,2.125,4.9592,1.366459627
Carlos Martinez,11682,STL,20.2,88,4.7903,18,4,0,12,11,1,9,1,1,24,0.236842105,0.32183908,0.328947368,0.283170457,0.650786448,0.445544554,2.666666667,4.7903,1.336633663
Tayron Guerrero,11691,MIA,17.2,92,7.6415,19,4,0,15,15,4,16,0,3,21,0.263888888,0.413043478,0.486111111,0.384704793,0.899154589,2.093023256,1.3125,7.6415,2.034883721
Nick Kingham,11694,2 Tms,16.2,77,7.56,24,6,0,14,14,4,5,0,0,13,0.333333333,0.376623376,0.583333333,0.398494855,0.959956709,2.222222222,2.6,7.56,1.790123457
Sam Dyson,11710,2 Tms,23.2,97,2.662,20,3,0,9,7,3,5,0,2,23,0.224719101,0.28125,0.359550561,0.27638549,0.640800561,1.163793103,4.6,2.662,1.077586207
Luke Jackson,11752,ATL,32,117,2.8125,17,3,0,12,10,5,9,2,0,44,0.157407407,0.222222222,0.324074074,0.22614087,0.546296296,1.40625,4.888888889,2.8125,0.8125
Kyle Ryan,11753,CHC,25.1,103,2.1316,21,3,1,6,6,0,9,0,0,24,0.225806451,0.291262135,0.279569892,0.25412604,0.570832027,0,2.666666667,2.1316,1.195219124
Hansel Robles,11801,LAA,34.1,132,2.6214,28,7,0,10,10,2,6,1,0,40,0.225806451,0.257575757,0.330645161,0.247097192,0.588220918,0.527859238,6.666666667,2.6214,0.997067449
Hector Neris,11804,PHI,31.1,125,3.4468,18,2,0,12,12,5,15,1,1,37,0.166666666,0.272,0.324074074,0.258709902,0.596074074,1.446945338,2.466666667,3.4468,1.061093248
Chris Martin,11847,2 Tms,27.2,101,2.6024,20,2,0,9,8,5,1,0,0,35,0.202020202,0.207920792,0.373737373,0.238873246,0.581658165,1.654411765,35,2.6024,0.772058824
Michael Feliz,11903,PIT,27.1,111,2.3049,17,4,1,9,7,4,15,1,0,27,0.178947368,0.288288288,0.368421052,0.279770889,0.65670934,1.328413284,1.8,2.3049,1.180811808
Taylor Cole,11964,LAA,18.2,83,4.3393,18,4,0,9,9,1,12,3,1,20,0.257142857,0.373493975,0.357142857,0.313036923,0.730636832,0.494505495,1.666666667,4.3393,1.648351648
Matt Andriese,12022,ARI,29.2,132,6.0674,26,8,2,20,20,4,15,3,1,31,0.228070175,0.320610687,0.438596491,0.312402547,0.759207178,1.232876712,2.066666667,6.0674,1.404109589
Brian Flynn,12027,KCR,12.1,51,2.9189,12,2,0,4,4,0,6,1,0,10,0.272727272,0.36,0.318181818,0.297568849,0.678181818,0,1.666666667,2.9189,1.487603306
Felipe Vazquez,12076,PIT,13.2,53,1.3171,9,3,1,2,2,1,3,0,3,25,0.191489361,0.283018867,0.361702127,0.2797265,0.644720994,0.681818182,8.333333333,1.3171,0.909090909
Yimi Garcia,12095,LAD,23.2,88,4.5634,14,2,1,13,12,7,4,1,1,21,0.170731707,0.218390804,0.475609756,0.276832849,0.69400056,2.715517241,5.25,4.5634,0.775862069
Parker Markel,12106,2 Tms,10.2,52,3.375,12,4,0,5,4,3,8,1,1,15,0.279069767,0.403846153,0.581395348,0.403619194,0.985241501,2.647058824,1.875,3.375,1.960784314
Cody Allen,12183,LAA,10,53,8.1,10,1,0,9,9,5,11,0,0,14,0.243902439,0.396226415,0.634146341,0.414830439,1.030372756,4.5,1.272727273,8.1,2.1
Aaron Brooks,12272,2 Tms,15.1,62,2.9348,10,3,0,5,5,3,5,0,2,10,0.181818181,0.274193548,0.4,0.287692489,0.674193548,1.78807947,2,2.9348,0.993377483
Evan Marshall,12297,CHW,18.2,78,1.4464,15,4,0,4,3,0,10,2,0,12,0.220588235,0.32051282,0.279411764,0.262561747,0.599924584,0,1.2,1.4464,1.373626374
Jacob Barnes,12323,2 Tms,12.1,63,2.1892,12,2,0,4,3,0,9,1,0,10,0.222222222,0.333333333,0.259259259,0.268576728,0.592592592,0,1.111111111,2.1892,1.73553719
Seth Lugo,12447,NYM,33.2,129,2.1386,20,4,1,8,8,4,8,3,1,41,0.166666666,0.224806201,0.316666666,0.221350675,0.541472867,1.084337349,5.125,2.1386,0.843373494
Blake Treinen,12572,OAK,29,132,4.6552,29,6,0,16,15,5,16,1,1,27,0.254385964,0.351145038,0.438596491,0.336340231,0.789741529,1.551724138,1.6875,4.6552,1.551724138
Nick Ramirez,12575,DET,27.2,117,2.6024,24,3,1,11,8,2,12,0,0,22,0.23076923,0.307692307,0.336538461,0.282004659,0.644230768,0.661764706,1.833333333,2.6024,1.323529412
DJ Johnson,12578,COL,12,51,3.75,12,4,0,5,5,0,6,2,0,15,0.266666666,0.352941176,0.355555555,0.297646795,0.708496731,0,2.5,3.75,1.5
Adam Morgan,12580,PHI,14.1,56,3.7675,7,1,1,6,6,0,4,1,3,17,0.142857142,0.25,0.204081632,0.205859041,0.454081632,0,4.25,3.7675,0.780141844
Mike Wright,12586,2 Tms,10.2,56,2.5312,15,3,0,4,3,1,8,1,1,10,0.319148936,0.428571428,0.44680851,0.376481566,0.875379938,0.882352941,1.25,2.5312,2.254901961
Roenis Elias,12673,2 Tms,11.2,67,9.2571,21,1,0,14,12,5,9,0,0,11,0.368421052,0.454545454,0.649122807,0.457137943,1.103668261,4.017857143,1.222222222,9.2571,2.678571429
Ryne Harper,12680,MIN,26,107,3.4615,27,7,1,11,10,3,5,0,0,30,0.264705882,0.29906542,0.44117647,0.310555719,0.74024189,1.038461538,6,3.4615,1.230769231
Adrian Houser,12718,MIL,11.2,48,0.7714,8,1,1,1,1,0,6,1,0,15,0.2,0.291666666,0.275,0.242867995,0.566666666,0,2.5,0.7714,1.25
Rafael Montero,12760,TEX,17,56,1.0588,6,1,1,2,2,1,2,0,0,16,0.111111111,0.142857142,0.222222222,0.154904045,0.365079364,0.529411765,8,1.0588,0.470588235
Chris Devenski,12763,HOU,33.1,151,4.86,35,8,0,18,18,7,14,0,2,40,0.259259259,0.337748344,0.474074074,0.343077924,0.811822418,1.903323263,2.857142857,4.86,1.480362538
Jairo Diaz,12774,COL,28.1,115,3.8118,22,6,0,15,12,2,13,0,0,25,0.215686274,0.304347826,0.333333333,0.281107719,0.637681159,0.640569395,1.923076923,3.8118,1.245551601
John Brebbia,12777,STL,23,104,7.0435,20,5,1,18,18,3,12,1,3,29,0.224719101,0.336538461,0.404494382,0.31793701,0.741032843,1.173913043,2.416666667,7.0435,1.391304348
Sam Gaviglio,12778,TOR,38,165,5.2105,41,13,0,23,22,5,12,0,1,29,0.277027027,0.329268292,0.466216216,0.332427026,0.795484508,1.184210526,2.416666667,5.2105,1.394736842
Noe Ramirez,12800,LAA,21.2,83,4.1538,16,4,1,10,10,2,4,1,2,14,0.207792207,0.26506024,0.363636363,0.26354299,0.628696603,0.849056604,3.5,4.1538,0.943396226
Matt Wisler,12804,2 Tms,15.1,66,7.6305,16,6,1,15,13,5,7,0,0,15,0.27118644,0.348484848,0.661016949,0.406623813,1.009501797,2.98013245,2.142857143,7.6305,1.523178808
Andrew Kittredge,12828,TBR,11,53,6.5455,14,3,1,8,8,2,5,0,1,10,0.311111111,0.37735849,0.555555555,0.380860883,0.932914045,1.636363636,2,6.5455,1.727272727
Shawn Armstrong,12857,2 Tms,23.1,101,4.6286,18,2,0,13,12,2,12,0,1,20,0.209302325,0.31,0.302325581,0.274896523,0.612325581,0.779220779,1.666666667,4.6286,1.298701299
Matt Barnes,12863,BOS,25.1,116,4.6184,16,2,0,14,13,3,22,2,2,50,0.173913043,0.344827586,0.29347826,0.290017005,0.638305846,1.075697211,2.272727273,4.6184,1.513944223
Alex Claudio,12890,MIL,33.1,137,3.24,26,7,0,13,12,4,9,0,6,23,0.218487394,0.301470588,0.37815126,0.292991536,0.679621848,1.087613293,2.555555556,3.24,1.057401813
Ken Giles,12910,TOR,25.2,99,2.8052,16,3,0,8,8,4,7,0,0,36,0.173913043,0.232323232,0.336956521,0.243097615,0.569279753,1.428571429,5.142857143,2.8052,0.912698413
Archie Bradley,12918,ARI,28.2,130,5.0232,29,9,2,17,16,2,16,1,0,44,0.256637168,0.348837209,0.424778761,0.329337615,0.77361597,0.638297872,2.75,5.0232,1.595744681
Gabriel Ynoa,12938,BAL,19,84,8.0526,23,6,0,20,17,5,4,0,0,15,0.2875,0.321428571,0.55,0.359453939,0.871428571,2.368421053,3.75,8.0526,1.421052632
Andrew Chafin,12988,ARI,31.1,135,2.8723,32,4,0,10,10,3,8,0,2,39,0.258064516,0.313432835,0.362903225,0.293927125,0.67633606,0.868167203,4.875,2.8723,1.286173633
Colten Brewer,12997,BOS,23,102,3.5217,21,2,1,9,9,2,11,1,2,27,0.244186046,0.336633663,0.360465116,0.300965092,0.697098779,0.782608696,2.454545455,3.5217,1.391304348
Wei-Yin Chen,13071,MIA,26,112,7.6154,31,6,0,26,22,7,5,0,3,22,0.300970873,0.348214285,0.563106796,0.376239187,0.911321081,2.423076923,4.4,7.6154,1.384615385
Derek Law,13133,TOR,28.2,132,3.7674,26,7,1,13,12,2,20,3,0,32,0.236363636,0.351145038,0.372727272,0.309167655,0.72387231,0.638297872,1.6,3.7674,1.631205674
Kyle Crick,13182,PIT,21.2,98,3.3231,17,3,1,9,8,3,12,1,5,24,0.209876543,0.346938775,0.382716049,0.318381528,0.729654824,1.273584906,2,3.3231,1.367924528
Adalberto Mejia,13188,3 Tms,11.2,55,6.9428,12,4,0,10,9,1,8,0,0,12,0.260869565,0.363636363,0.413043478,0.334832724,0.776679841,0.803571429,1.5,6.9428,1.785714286
Joe Biagini,13194,2 Tms,25,114,7.2,33,7,0,21,20,10,10,2,0,23,0.320388349,0.380530973,0.67961165,0.426559303,1.060142623,3.6,2.3,7.2,1.72
Ross Stripling,13273,LAD,10.1,44,1.7419,10,3,0,5,2,1,3,0,0,13,0.25,0.295454545,0.4,0.292683087,0.695454545,0.891089109,4.333333333,1.7419,1.287128713
Adrian Sampson,13339,TEX,16.2,76,3.78,21,7,0,7,7,2,7,0,0,10,0.304347826,0.368421052,0.492753623,0.363987767,0.861174675,1.111111111,1.428571429,3.78,1.728395062
Luis Cessa,13345,NYY,31.2,140,4.5474,35,5,1,17,16,4,12,0,1,31,0.277777777,0.342857142,0.428571428,0.329381518,0.77142857,1.153846154,2.583333333,4.5474,1.506410256
Cam Bedrosian,13360,LAA,28.1,118,1.2706,18,2,1,5,4,3,13,0,1,31,0.173076923,0.27118644,0.298076923,0.253468507,0.569263363,0.960854093,2.384615385,1.2706,1.103202847
Dylan Floro,13394,LAD,13.2,68,3.9512,20,4,0,7,6,2,8,4,1,15,0.33898305,0.426470588,0.508474576,0.381259761,0.934945164,1.363636364,1.875,3.9512,2.121212121
Felix Pena,13403,LAA,29.1,135,4.2955,33,9,0,14,14,6,13,0,1,35,0.275,0.348148148,0.5,0.355060516,0.848148148,1.855670103,2.692307692,4.2955,1.580756014
Drew VerHagen,13424,DET,13.1,62,7.425,13,4,1,11,11,1,10,1,1,7,0.26,0.387096774,0.44,0.350070912,0.827096774,0.687022901,0.7,7.425,1.755725191
Mike Morin,13442,2 Tms,21,89,2.1429,18,4,0,6,5,0,6,0,2,11,0.225,0.295454545,0.275,0.25706088,0.570454545,0,1.833333333,2.1429,1.142857143
Taylor Rogers,13449,MIN,16,72,1.125,18,1,0,2,2,1,4,0,2,25,0.272727272,0.333333333,0.333333333,0.29541009,0.666666666,0.5625,6.25,1.125,1.375
Lucas Sims,13470,CIN,10.1,48,6.9678,7,1,0,8,8,3,10,0,1,13,0.189189189,0.375,0.459459459,0.359713651,0.834459459,2.673267327,1.3,6.9678,1.683168317
Connor Sadzeck,13483,SEA,10.1,45,3.4839,5,0,0,5,4,2,8,0,0,15,0.135135135,0.288888888,0.297297297,0.266894445,0.586186185,1.782178218,1.875,3.4839,1.287128713
Brandon Brennan,13527,SEA,16.2,79,6.48,16,4,0,13,12,3,12,3,0,17,0.242424242,0.354430379,0.439393939,0.325320803,0.793824318,1.666666667,1.416666667,6.48,1.728395062
Matt Bowman,13528,CIN,13.1,61,6.075,15,5,0,9,9,0,7,2,0,11,0.283018867,0.360655737,0.37735849,0.308997732,0.738014227,0,1.571428571,6.075,1.679389313
Richard Rodriguez,13549,PIT,26,123,4.5,32,3,0,15,13,8,11,3,2,27,0.293577981,0.365853658,0.541284403,0.369906849,0.907138061,2.769230769,2.454545455,4.5,1.653846154
Robert Stephenson,13594,CIN,25.2,115,5.2597,21,7,1,16,15,4,17,3,0,31,0.214285714,0.330434782,0.428571428,0.31512855,0.75900621,1.428571429,1.823529412,5.2597,1.507936508
Taylor Guerrieri,13616,TEX,11.1,56,6.353,14,0,2,9,8,2,8,0,2,16,0.304347826,0.428571428,0.52173913,0.403463636,0.950310558,1.621621622,2,6.353,1.981981982
Clay Holmes,13649,PIT,19.2,101,5.4915,21,5,1,14,12,1,19,1,2,18,0.265822784,0.42,0.392405063,0.359496032,0.812405063,0.46875,0.947368421,5.4915,2.083333333
John Gant,13684,STL,21.2,94,4.1538,17,6,0,10,10,3,17,0,0,18,0.22077922,0.361702127,0.415584415,0.33840913,0.777286542,1.273584906,1.058823529,4.1538,1.603773585
Nick Goody,13685,CLE,14.2,64,4.2954,12,3,0,8,7,2,10,1,0,14,0.226415094,0.34375,0.396226415,0.314745495,0.739976415,1.267605634,1.4,4.2954,1.549295775
Robert Gsellman,13696,NYM,22.1,106,5.2388,26,9,0,16,13,2,12,2,2,24,0.282608695,0.37735849,0.445652173,0.348216691,0.823010663,0.814479638,2,5.2388,1.719457014
Jake Faria,13699,2 Tms,10.2,52,5.9062,13,4,0,7,7,1,8,0,0,11,0.302325581,0.403846153,0.465116279,0.370873213,0.868962432,0.882352941,1.375,5.9062,2.058823529
Kyle Barraclough,13713,2 Tms,13,59,5.5385,12,2,0,8,8,3,8,1,0,12,0.235294117,0.33898305,0.450980392,0.330538777,0.789963442,2.076923077,1.5,5.5385,1.538461538
Tyler Duffey,13758,MIN,27,110,3,20,3,0,10,9,4,5,1,2,28,0.196078431,0.245454545,0.343137254,0.246904966,0.588591799,1.333333333,5.6,3,0.925925926
Chris Stratton,13761,2 Tms,22.2,98,3.9706,22,7,0,10,10,3,11,1,0,25,0.252873563,0.336734693,0.436781609,0.326530824,0.773516302,1.216216216,2.272727273,3.9706,1.486486486
Dominic Leone,13763,STL,18,85,3,17,4,0,9,6,3,14,1,0,22,0.242857142,0.364705882,0.428571428,0.337561504,0.79327731,1.5,1.571428571,3,1.722222222
Roberto Osuna,13764,HOU,35,132,1.8,18,2,1,8,7,3,8,0,2,39,0.15,0.213740458,0.258333333,0.207458223,0.472073791,0.771428571,4.875,1.8,0.742857143
Daniel Stumpf,13780,DET,15,63,2.4,14,2,0,5,4,2,5,0,0,17,0.254545454,0.306451612,0.4,0.297741061,0.706451612,1.2,3.4,2.4,1.266666667
Matt Strahm,13799,SDP,15.2,54,1.7234,7,2,0,3,3,2,2,0,1,14,0.137254901,0.185185185,0.294117647,0.204093099,0.479302832,1.184210526,7,1.7234,0.592105263
Austin Adams,13801,2 Tms,12.2,49,3.5527,6,3,0,5,5,1,5,0,0,23,0.139534883,0.224489795,0.279069767,0.220004403,0.503559562,0.737704918,4.6,3.5527,0.901639344
Scott Oberg,13911,COL,23.1,103,3.0857,20,0,0,9,8,3,14,1,0,28,0.224719101,0.330097087,0.325842696,0.289958436,0.655939783,1.168831169,2,3.0857,1.471861472
Branden Kline,14101,BAL,16.1,72,6.6123,13,2,0,13,12,5,10,0,0,14,0.216666666,0.323943661,0.5,0.341571796,0.823943661,2.795031056,1.4,6.6123,1.428571429
Kevin Gausman,14107,CIN,10,40,4.5,8,2,0,5,5,1,3,1,0,14,0.216216216,0.275,0.351351351,0.25901256,0.626351351,0.9,4.666666667,4.5,1.1
Josh Hader,14212,MIL,18,66,2.5,9,2,1,5,5,5,2,0,1,34,0.142857142,0.181818181,0.444444444,0.251961159,0.626262625,2.5,17,2.5,0.611111111
Luke Bard,14288,LAA,15.2,70,8.0425,19,3,0,14,14,4,6,1,1,14,0.301587301,0.371428571,0.539682539,0.377016125,0.91111111,2.368421053,2.333333333,8.0425,1.644736842
Wandy Peralta,14295,2 Tms,20.1,87,5.3115,18,4,0,12,12,5,6,0,2,19,0.236842105,0.298850574,0.486842105,0.321505765,0.785692679,2.23880597,3.166666667,5.3115,1.194029851
Amir Garrett,14375,CIN,26,114,1.3846,19,3,0,5,4,2,17,0,3,42,0.202127659,0.342105263,0.29787234,0.294703692,0.639977603,0.692307692,2.470588235,1.3846,1.384615385
Wei-Chung Wang,14382,2 Tms,14,57,3.8571,11,0,0,6,6,1,6,0,0,9,0.22,0.298245614,0.28,0.259252207,0.578245614,0.642857143,1.5,3.8571,1.214285714
Adam Conley,14457,MIA,25,119,6.12,36,10,2,18,17,1,9,1,2,19,0.336448598,0.398305084,0.495327102,0.377144991,0.893632186,0.36,2.111111111,6.12,1.8
J.B. Wendelken,14506,OAK,14.1,57,4.3954,8,1,0,7,7,1,6,1,0,10,0.16,0.25,0.24,0.215005753,0.49,0.638297872,1.666666667,4.3954,0.992907801
Jose Leclerc,14524,TEX,28.2,129,6.2791,31,11,1,20,20,4,17,0,0,37,0.281818181,0.377952755,0.509090909,0.373618752,0.887043664,1.276595745,2.176470588,6.2791,1.70212766
Jorge Lopez,14527,KCR,18.2,90,5.7857,28,5,0,14,12,1,7,0,0,20,0.345679012,0.388888888,0.444444444,0.355403095,0.833333332,0.494505495,2.857142857,5.7857,1.923076923
Carlos Estevez,14542,COL,29.2,140,5.1573,35,11,0,17,17,5,14,1,0,24,0.286885245,0.352517985,0.5,0.352009807,0.852517985,1.54109589,1.714285714,5.1573,1.678082192
Jose Ruiz,14552,CHW,12.1,60,5.1081,14,4,0,7,7,0,8,2,0,14,0.274509803,0.372881355,0.352941176,0.310605202,0.725822531,0,1.75,5.1081,1.818181818
Rowan Wick,14646,CHC,14,62,3.8571,12,4,0,9,6,0,8,1,1,14,0.226415094,0.338709677,0.301886792,0.284832662,0.640596469,0,1.75,3.8571,1.428571429
Luis Perdomo,14682,SDP,24.2,106,5.1081,29,6,1,15,14,3,7,0,0,17,0.292929292,0.339622641,0.464646464,0.339643477,0.804269105,1.115702479,2.428571429,5.1081,1.487603306
Keone Kela,14696,PIT,11,48,1.6364,8,4,0,2,2,1,8,0,0,8,0.2,0.333333333,0.375,0.311195223,0.708333333,0.818181818,1,1.6364,1.454545455
