Name,playerId,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,LHH_OPS,LHH_HR/9,LHH_SO/BB,LHH_ERA,LHH_WHIP
Edwin Diaz,14710,NYM,24.2,102,3.2838,17,3,0,9,9,5,13,2,0,45,0.193181818,0.294117647,0.397727272,0.28767378,0.691844919,1.859504132,3.461538462,3.2838,1.239669421
Ty Buttrey,14719,LAA,33.1,139,3.24,28,5,1,12,12,3,13,0,2,43,0.227642276,0.309352517,0.357723577,0.29040103,0.667076094,0.81570997,3.307692308,3.24,1.238670695
Tyler Olson,14741,CLE,13.1,57,4.05,12,6,0,6,6,0,7,0,0,14,0.244897959,0.333333333,0.367346938,0.304380532,0.700680271,0,2,4.05,1.450381679
Wes Parsons,14764,2 Tms,13,60,6.9231,12,1,0,11,10,4,12,2,0,9,0.255319148,0.406779661,0.531914893,0.385350956,0.938694554,2.769230769,0.75,6.9231,1.846153846
Julio Urias,14765,LAD,17.2,71,2.0377,9,2,0,7,4,2,10,0,1,20,0.152542372,0.28169014,0.288135593,0.257501379,0.569825733,1.046511628,2,2.0377,1.104651163
Emilio Pagan,14771,TBR,23.1,96,3.8571,15,2,1,11,10,6,10,1,1,33,0.178571428,0.270833333,0.44047619,0.292095479,0.711309523,2.337662338,3.3,3.8571,1.082251082
Buck Farmer,14814,DET,25.1,113,2.8421,25,6,2,9,8,1,10,1,1,21,0.257731958,0.327272727,0.391752577,0.304065458,0.719025304,0.358565737,2.1,2.8421,1.394422311
Michael Lorenzen,14843,CIN,35.2,146,3.785,25,6,1,17,15,4,13,0,2,39,0.1953125,0.277777777,0.3515625,0.272041022,0.629340277,1.022727273,3,3.785,1.079545455
Zack Godley,14862,2 Tms,28,111,3.2143,22,5,0,10,10,5,9,0,0,23,0.215686274,0.279279279,0.411764705,0.292152606,0.691043984,1.607142857,2.555555556,3.2143,1.107142857
Reyes Moronta,14966,SFG,20,91,1.8,17,3,0,5,4,0,13,1,2,18,0.226666666,0.351648351,0.266666666,0.283849559,0.618315017,0,1.384615385,1.8,1.5
Tyler Webb,14974,STL,29,115,3.4138,16,3,1,11,11,2,11,0,2,26,0.156862745,0.252173913,0.264705882,0.232920211,0.516879795,0.620689655,2.363636364,3.4138,0.931034483
Giovanny Gallegos,14986,STL,33.1,123,2.7,17,6,0,10,10,4,8,2,1,43,0.149122807,0.211382113,0.307017543,0.214928623,0.518399656,1.087613293,5.375,2.7,0.755287009
Scott Barlow,14993,KCR,26,122,4.8462,30,7,1,14,14,3,15,3,2,34,0.288461538,0.388429752,0.461538461,0.356854043,0.849968213,1.038461538,2.266666667,4.8462,1.730769231
Victor Alcantara,15028,DET,16,65,4.5,14,5,0,10,8,1,5,0,1,5,0.24137931,0.307692307,0.379310344,0.294621595,0.687002651,0.5625,1,4.5,1.1875
Tim Mayza,15042,TOR,25.1,109,2.1316,20,7,0,7,6,4,13,0,1,23,0.210526315,0.311926605,0.410526315,0.310039483,0.72245292,1.434262948,1.769230769,2.1316,1.314741036
Lou Trivino,15043,OAK,31,133,6.0968,31,10,0,25,21,4,14,1,0,24,0.267241379,0.34351145,0.456896551,0.336014911,0.800408001,1.161290323,1.714285714,6.0968,1.451612903
Trevor Gott,15046,SFG,20,79,5.4,15,3,0,12,12,0,5,0,0,19,0.208333333,0.253164556,0.25,0.221984207,0.503164556,0,3.8,5.4,1
Yency Almonte,15068,COL,10,55,7.2,17,5,0,9,8,2,6,0,0,9,0.346938775,0.418181818,0.571428571,0.414549689,0.989610389,1.8,1.5,7.2,2.3
Hunter Wood,15091,2 Tms,16,75,1.6875,18,2,0,3,3,1,6,0,1,7,0.272727272,0.337837837,0.348484848,0.301053466,0.686322685,0.5625,1.166666667,1.6875,1.5
Jake Newberry,15136,KCR,11,53,4.9091,17,5,1,6,6,4,5,2,0,8,0.354166666,0.415094339,0.75,0.461345396,1.165094339,3.272727273,1.6,4.9091,2
Jimmy Yacabonis,15157,BAL,12,54,6.75,15,2,1,9,9,4,5,0,0,9,0.306122448,0.37037037,0.632653061,0.409792942,1.003023431,3,1.8,6.75,1.666666667
Kevin McCarthy,15240,KCR,22,107,6.1364,27,8,0,15,15,2,13,5,0,9,0.296703296,0.373831775,0.45054945,0.332530053,0.824381225,0.818181818,0.692307692,6.1364,1.818181818
Adam Cimber,15288,CLE,13,62,8.3077,16,5,0,12,12,3,5,1,3,10,0.296296296,0.387096774,0.555555555,0.389796938,0.942652329,2.076923077,2,8.3077,1.615384615
Austin Pruitt,15290,TBR,20.2,82,4.3548,16,3,0,10,10,2,8,1,0,19,0.219178082,0.292682926,0.342465753,0.270701312,0.635148679,0.891089109,2.375,4.3548,1.188118812
Nick Pivetta,15454,PHI,11.1,52,3.1765,12,2,1,8,4,3,8,2,0,11,0.272727272,0.384615384,0.568181818,0.382807255,0.952797202,2.432432432,1.375,3.1765,1.801801802
Chad Green,15552,NYY,24.1,99,3.6986,20,6,2,12,10,1,4,0,3,39,0.222222222,0.272727272,0.366666666,0.270525837,0.639393938,0.373443983,9.75,3.6986,0.995850622
Nick Wittgren,15594,CLE,21.2,90,4.5692,20,4,0,12,11,5,7,1,0,23,0.240963855,0.3,0.469879518,0.317660497,0.769879518,2.122641509,3.285714286,4.5692,1.273584906
Miguel Castro,15684,BAL,24,114,3.75,24,3,0,12,10,3,20,1,0,16,0.258064516,0.385964912,0.387096774,0.338381658,0.773061686,1.125,0.8,3.75,1.833333333
Jimmy Cordero,15690,2 Tms,14.1,59,3.1395,8,2,0,5,5,1,9,0,1,12,0.163265306,0.305084745,0.265306122,0.265301141,0.570390867,0.638297872,1.333333333,3.1395,1.205673759
Joe Jimenez,15761,DET,26,117,5.1923,27,4,1,16,15,5,13,1,1,38,0.262135922,0.35042735,0.466019417,0.343788157,0.816446767,1.730769231,2.923076923,5.1923,1.538461538
Zack Littell,15823,MIN,15.2,61,2.2979,14,4,0,5,4,1,5,1,0,13,0.254545454,0.316666666,0.381818181,0.294810785,0.698484847,0.592105263,2.6,2.2979,1.25
Paul Fry,15832,BAL,26.1,118,4.443,25,5,0,13,13,6,13,0,4,21,0.25,0.358974358,0.48,0.356801125,0.838974358,2.068965517,1.615384615,4.443,1.455938697
Wander Suero,15855,WSN,33,142,3,36,6,0,11,11,0,12,0,0,34,0.279069767,0.338028169,0.325581395,0.293462939,0.663609564,0,2.833333333,3,1.454545455
Stephen Tarpley,15859,NYY,11.1,43,2.3824,7,1,0,4,3,1,5,0,0,18,0.184210526,0.279069767,0.289473684,0.254783934,0.568543451,0.810810811,3.6,2.3824,1.081081081
Ryne Stanek,15947,2 Tms,14.1,68,6.9069,14,2,0,11,11,5,10,1,0,17,0.24137931,0.352941176,0.534482758,0.364640452,0.887423934,3.191489362,1.7,6.9069,1.70212766
Stefan Crichton,16058,ARI,12,46,4.5,6,1,0,6,6,2,4,1,1,15,0.146341463,0.239130434,0.31707317,0.233214614,0.556203604,1.5,3.75,4.5,0.833333333
Cy Sneed,16106,HOU,10.2,44,3.375,13,3,0,4,4,1,1,0,0,11,0.309523809,0.325581395,0.452380952,0.328053224,0.777962347,0.882352941,11,3.375,1.37254902
Justin Shafer,16132,TOR,17,84,3.7059,18,6,1,9,7,4,15,4,0,19,0.264705882,0.397590361,0.558823529,0.383134625,0.95641389,2.117647059,1.266666667,3.7059,1.941176471
Jace Fry,16159,CHW,24,106,3.375,16,6,0,9,9,0,19,1,2,30,0.192771084,0.352380952,0.26506024,0.287113373,0.617441192,0,1.578947368,3.375,1.458333333
Justin Anderson,16201,LAA,21.2,102,5.8154,20,9,0,14,14,4,16,0,0,29,0.238095238,0.356435643,0.488095238,0.354852328,0.844530881,1.698113208,1.8125,5.8154,1.698113208
Aaron Bummer,16258,CHW,25.1,94,1.4211,16,2,0,5,4,1,4,0,0,21,0.177777777,0.212765957,0.233333333,0.196158904,0.44609929,0.358565737,5.25,1.4211,0.796812749
Jesus Tinoco,16300,COL,13.2,73,5.9268,18,3,0,13,9,7,14,1,0,6,0.310344827,0.438356164,0.724137931,0.460519888,1.162494095,4.772727273,0.428571429,5.9268,2.424242424
Gerardo Reyes,16306,SDP,12.2,60,9.9473,13,2,1,14,14,3,5,0,3,15,0.25,0.35,0.5,0.357955388,0.85,2.213114754,3,9.9473,1.475409836
Brad Wieck,16390,2 Tms,12.2,52,8.5264,13,4,0,12,12,4,1,0,1,12,0.265306122,0.288461538,0.591836734,0.353506691,0.880298272,2.950819672,12,8.5264,1.147540984
Yonny Chirinos,16401,TBR,14.1,49,2.5116,6,0,1,6,4,2,3,0,0,10,0.133333333,0.183673469,0.311111111,0.205873325,0.49478458,1.276595745,3.333333333,2.5116,0.638297872
Ryan Yarbrough,16502,TBR,13.2,56,6.5853,12,3,0,10,10,2,4,0,1,14,0.244897959,0.303571428,0.428571428,0.305298386,0.732142856,1.363636364,3.5,6.5853,1.212121212
Jonathan Holder,16588,NYY,15,68,6.6,16,3,0,11,11,2,7,1,1,17,0.266666666,0.352941176,0.416666666,0.327697428,0.769607842,1.2,2.428571429,6.6,1.533333333
Jeff Brigham,16631,MIA,16,67,5.0625,13,1,1,9,9,3,8,1,0,16,0.220338983,0.313432835,0.423728813,0.308381933,0.737161648,1.6875,2,5.0625,1.3125
Brock Stewart,16727,2 Tms,13.1,67,9.45,22,4,0,15,14,7,3,0,1,9,0.360655737,0.388059701,0.770491803,0.459689386,1.158551504,4.809160305,3,9.45,1.908396947
Josh James,16794,HOU,29.1,130,5.2159,21,2,0,18,17,6,21,0,1,48,0.194444444,0.33076923,0.379629629,0.312237231,0.710398859,1.855670103,2.285714286,5.2159,1.443298969
Tim Hill,16814,KCR,17,65,2.1176,11,1,0,4,4,0,5,0,1,11,0.186440677,0.261538461,0.20338983,0.216668082,0.464928291,0,2.2,2.1176,0.941176471
Touki Toussaint,16929,ATL,11,58,9,17,7,0,11,11,4,8,2,0,11,0.34,0.431034482,0.72,0.45775365,1.151034482,3.272727273,1.375,9,2.272727273
Sean Newcomb,16943,ATL,17.1,76,3.6346,16,0,0,8,7,2,7,0,2,22,0.23880597,0.328947368,0.328358208,0.293737728,0.657305576,1.052631579,3.142857143,3.6346,1.34502924
Jake Jewell,16958,LAA,10.1,47,8.7097,14,3,1,10,10,3,4,0,0,10,0.325581395,0.382978723,0.65116279,0.422256281,1.034141513,2.673267327,2.5,8.7097,1.782178218
Ariel Jurado,17030,TEX,13.1,52,4.05,12,3,0,8,6,1,2,1,0,3,0.24,0.269230769,0.36,0.259542771,0.629230769,0.687022901,1.5,4.05,1.06870229
Raisel Iglesias,17130,CIN,27.2,117,5.2048,26,7,0,16,16,7,9,3,0,33,0.24074074,0.299145299,0.5,0.321670669,0.799145299,2.316176471,3.666666667,5.2048,1.286764706
Yoan Lopez,17181,ARI,23.2,94,3.8028,19,4,0,10,10,6,4,0,0,17,0.211111111,0.244680851,0.455555555,0.288207625,0.700236406,2.327586207,4.25,3.8028,0.99137931
Jalen Beeks,17192,TBR,22.1,104,2.8209,23,5,0,8,7,1,12,0,3,18,0.261363636,0.365384615,0.352272727,0.319686178,0.717657342,0.407239819,1.5,2.8209,1.583710407
Austin Brice,17237,MIA,17,82,3.7059,17,3,0,10,7,3,10,1,3,15,0.246376811,0.365853658,0.420289855,0.338328138,0.786143513,1.588235294,1.5,3.7059,1.588235294
Ranger Suarez,17277,PHI,17.1,68,2.5962,13,3,0,5,5,1,3,0,1,14,0.213114754,0.257575757,0.311475409,0.245546872,0.569051166,0.526315789,4.666666667,2.5962,0.935672515
Thomas Pannone,17281,TOR,17.2,68,1.5283,13,2,0,3,3,2,5,0,1,16,0.213114754,0.279411764,0.344262295,0.269258154,0.623674059,1.046511628,3.2,1.5283,1.046511628
Framber Valdez,17295,HOU,11,50,3.2727,6,1,0,4,4,0,11,0,0,9,0.157894736,0.34,0.184210526,0.263158802,0.524210526,0,0.818181818,3.2727,1.545454545
Josh Taylor,17359,BOS,19,71,2.3684,14,1,0,5,5,2,4,0,0,23,0.208955223,0.253521126,0.313432835,0.245388653,0.566953961,0.947368421,5.75,2.3684,0.947368421
Brett Martin,17369,TEX,24.1,106,4.0685,25,2,0,12,11,3,6,0,0,26,0.252525252,0.29245283,0.363636363,0.280998576,0.656089193,1.12033195,4.333333333,4.0685,1.286307054
Chad Sobotka,17470,ATL,11.1,50,4.7647,13,2,0,7,6,1,6,0,0,16,0.295454545,0.38,0.409090909,0.344214084,0.789090909,0.810810811,2.666666667,4.7647,1.711711712
Diego Castillo,17496,TBR,20.1,91,3.0984,21,2,0,9,7,2,10,3,0,28,0.259259259,0.34065934,0.358024691,0.294633928,0.698684031,0.895522388,2.8,3.0984,1.542288557
Tanner Scott,17586,BAL,13.1,58,4.725,9,2,0,7,7,2,9,0,1,17,0.1875,0.327586206,0.354166666,0.303315576,0.681752872,1.374045802,1.888888889,4.725,1.374045802
Tanner Rainey,17610,WSN,18,88,7,18,6,0,14,14,4,19,2,0,28,0.260869565,0.420454545,0.52173913,0.392441794,0.942193675,2,1.473684211,7,2.055555556
Jeffrey Springs,17677,TEX,10.1,54,6.0968,16,5,0,7,7,0,8,0,0,9,0.355555555,0.444444444,0.466666666,0.392062166,0.91111111,0,1.125,6.0968,2.376237624
Evan Phillips,17734,BAL,10.2,56,5.9062,12,5,0,7,7,0,11,0,1,13,0.285714285,0.436363636,0.404761904,0.372418679,0.84112554,0,1.181818182,5.9062,2.254901961
Jose Alvarado,17780,TBR,11.1,47,1.5882,7,1,0,2,2,0,7,0,0,13,0.194444444,0.318181818,0.222222222,0.256053849,0.54040404,0,1.857142857,1.5882,1.261261261
Trey Wingenter,17793,SDP,27,107,5,13,2,1,15,15,1,11,0,4,35,0.142857142,0.261682242,0.219780219,0.226153725,0.481462461,0.333333333,3.181818182,5,0.888888889
Nestor Cortes,17874,NYY,20,96,7.2,29,5,0,16,16,6,7,0,1,23,0.333333333,0.385416666,0.597701149,0.405466103,0.983117815,2.7,3.285714286,7.2,1.8
Peter Fairbanks,17998,2 Tms,12,46,3.75,8,4,0,8,5,0,2,0,0,17,0.181818181,0.217391304,0.272727272,0.211427715,0.490118576,0,8.5,3.75,0.833333333
Phil Maton,18064,2 Tms,14,65,7.0714,17,5,0,12,11,1,5,0,1,12,0.293103448,0.359375,0.431034482,0.339987898,0.790409482,0.642857143,2.4,7.0714,1.571428571
Chance Adams,18135,NYY,11.1,54,6.353,15,5,0,8,8,3,6,0,1,7,0.319148936,0.407407407,0.617021276,0.423151169,1.024428683,2.432432432,1.166666667,6.353,1.891891892
Ryan Helsley,18138,STL,17.2,74,4.0755,15,4,1,9,8,3,7,1,0,14,0.23076923,0.301369863,0.461538461,0.311712478,0.762908324,1.569767442,2,4.0755,1.279069767
Jarlin Garcia,18282,MIA,20.2,84,1.3064,19,3,1,3,3,0,5,0,0,13,0.246753246,0.289156626,0.311688311,0.261139633,0.600844937,0,2.6,1.3064,1.188118812
Tyler Kinley,18297,MIA,18.2,85,5.3036,17,5,0,11,11,2,14,1,0,17,0.242857142,0.364705882,0.4,0.328955886,0.764705882,0.989010989,1.214285714,5.3036,1.703296703
Andrew Suarez,18300,SFG,11.2,52,2.3143,12,4,0,3,3,0,4,0,0,11,0.255319148,0.307692307,0.340425531,0.280474865,0.648117838,0,2.75,2.3143,1.428571429
Josh Staumont,18335,KCR,10.1,41,3.4839,10,4,0,4,4,1,3,1,0,5,0.263157894,0.31707317,0.447368421,0.313370456,0.764441591,0.891089109,1.666666667,3.4839,1.287128713
Nick Anderson,18337,2 Tms,29.1,123,5.2159,28,9,1,17,17,4,11,4,0,48,0.25,0.31707317,0.455357142,0.312972276,0.772430312,1.237113402,4.363636364,5.2159,1.340206186
A.J. Minter,18655,ATL,12.2,57,5.6842,13,3,0,8,8,1,6,1,0,14,0.26,0.339285714,0.38,0.306681211,0.719285714,0.737704918,2.333333333,5.6842,1.557377049
Freddy Peralta,18679,MIL,18.2,83,0.9643,11,1,0,3,2,0,17,1,0,26,0.169230769,0.341463414,0.184615384,0.258733938,0.526078798,0,1.529411765,0.9643,1.538461538
Jose Quijada,19200,MIA,13,62,8.3077,13,1,1,12,12,7,8,0,4,18,0.26,0.403225806,0.74,0.454840018,1.143225806,4.846153846,2.25,8.3077,1.615384615
Jacob Webb,19274,ATL,11,45,0,7,1,0,1,0,0,5,0,1,13,0.179487179,0.288888888,0.205128205,0.235666584,0.494017093,0,2.6,0,1.090909091
Edgar Garcia,19276,PHI,12.1,59,8.7568,15,3,0,12,12,5,10,1,0,13,0.3125,0.423728813,0.6875,0.44219956,1.111228813,3.719008264,1.3,8.7568,2.066115702
Hector Velazquez,19341,BOS,16.2,71,5.94,14,4,1,13,11,3,9,0,0,15,0.225806451,0.323943661,0.467741935,0.333022178,0.791685596,1.666666667,1.666666667,5.94,1.419753086
Caleb Ferguson,19349,LAD,18,77,3.5,13,4,0,7,7,3,7,1,2,22,0.19402985,0.285714285,0.388059701,0.282672468,0.673773986,1.5,3.142857143,3.5,1.111111111
Corbin Burnes,19361,MIL,11.2,59,7.7143,15,5,0,11,10,1,11,0,0,15,0.3125,0.440677966,0.479166666,0.39733156,0.919844632,0.803571429,1.363636364,7.7143,2.321428571
Colin Poche,19403,TBR,19.2,77,5.0339,11,3,0,11,11,3,7,0,3,26,0.166666666,0.276315789,0.348484848,0.273767718,0.624800637,1.40625,3.714285714,5.0339,0.9375
Jon Duplantier,19546,ARI,10.1,48,3.4839,10,1,0,4,4,0,8,0,1,13,0.256410256,0.395833333,0.282051282,0.318431283,0.677884615,0,1.625,3.4839,1.782178218
Geoff Hartlieb,19558,PIT,15.1,78,13.5,28,4,2,23,23,7,5,0,0,16,0.394366197,0.423076923,0.802816901,0.487141306,1.225893824,4.17218543,3.2,13.5,2.185430464
Gregory Soto,19677,DET,10.1,51,3.4839,15,2,0,5,4,0,4,0,0,10,0.319148936,0.372549019,0.361702127,0.323517665,0.734251146,0,2.5,3.4839,1.881188119
Jonathan Loaisiga,19753,NYY,10,39,2.7,8,0,0,3,3,1,2,0,1,14,0.222222222,0.282051282,0.305555555,0.259656203,0.587606837,0.9,7,2.7,1
Yoshihisa Hirano,19756,ARI,22.1,100,4.8358,22,1,0,14,12,4,10,1,0,28,0.25,0.323232323,0.397727272,0.305824313,0.720959595,1.628959276,2.8,4.8358,1.447963801
David McKay,19814,2 Tms,12,53,6.75,11,5,0,10,9,0,7,1,1,14,0.244444444,0.358490566,0.355555555,0.310806684,0.714046121,0,2,6.75,1.5
Darwinzon Hernandez,19848,BOS,11.1,47,3.1765,3,1,0,6,4,0,9,0,1,26,0.081081081,0.276595744,0.108108108,0.210377557,0.384703852,0,2.888888889,3.1765,1.081081081
Kevin Ginkel,19876,ARI,11,42,1.6364,8,1,0,3,2,2,2,0,0,16,0.2,0.238095238,0.375,0.257722899,0.613095238,1.636363636,8,1.6364,0.909090909
Michel Baez,20100,SDP,13.2,59,6.5853,11,4,0,10,10,3,7,2,1,9,0.22,0.322033898,0.48,0.321655835,0.802033898,2.045454545,1.285714286,6.5853,1.363636364
Andres Munoz,20373,SDP,11,47,4.0909,9,3,0,5,5,1,5,0,0,13,0.219512195,0.304347826,0.365853658,0.291066034,0.670201484,0.818181818,2.6,4.0909,1.272727273
Elvis Luciano,20632,TOR,15,71,6,15,6,0,10,10,3,15,1,0,10,0.267857142,0.422535211,0.535714285,0.400005145,0.958249496,1.8,0.666666667,6,2
Emmanuel Clase,21032,TEX,10.1,44,3.4839,9,2,1,5,4,1,2,0,1,10,0.219512195,0.272727272,0.390243902,0.280675482,0.662971174,0.891089109,5,3.4839,1.089108911